label	species_name	Subphylum	Host	mutations	log10_mutations
Alternaria_alternata	Alternaria alternata	Pezizomycotina	plants	8	0.903089986991944
Alternaria_solani	Alternaria solani	Pezizomycotina	plants	6	0.778151250383644
Trichophyton_tonsurans	Arthroderma vanbreuseghemii	Pezizomycotina	human and animals	6	0.778151250383644
Aspergillus_awamori	Aspergillus awamori	Pezizomycotina	human and animals	1	0
Aspergillus_flavus	Aspergillus flavus	Pezizomycotina	human and plants	40	1.60205999132796
Aspergillus_fumigatus	Aspergillus fumigatus	Pezizomycotina	human and animals	152	2.18184358794477
Aspergillus_niger	Aspergillus niger	Pezizomycotina	human and animals	9	0.954242509439325
Aspergillus_oryzae	Aspergillus oryzae	Pezizomycotina	human and animals	5	0.698970004336019
Aspergillus_terreus	Aspergillus terreus	Pezizomycotina	human and animals	1	0
Aspergillus_tubingensis	Aspergillus tubingensis	Pezizomycotina	human and animals	8	0.903089986991944
Beauveria_bassiana	Beauveria bassiana	Pezizomycotina	human and animals	5	0.698970004336019
Blumeria_graminis	Blumeria graminis	Pezizomycotina	plants	6	0.778151250383644
Botrytis_cinerea	Botrytis cinerea	Pezizomycotina	human and plants	43	1.63346845557959
Candida_albicans	Candida albicans	Saccharomycotina	human and animals	4041	3.60648885044265
Candida_auris	Candidozyma auris	Saccharomycotina	human and animals	93	1.96848294855394
Candida_dubliniensis	Candida dubliniensis	Saccharomycotina	human and animals	23	1.36172783601759
Kluyveromyces_marxianus	Kluyveromyces marxianus	Saccharomycotina	human and animals	4	0.602059991327962
Pichia_kudriavzevii	Pichia kudriavzevii	Saccharomycotina	human and animals	8	0.903089986991944
Clavispora_lusitaniae	Clavispora lusitaniae	Saccharomycotina	human and animals	41	1.61278385671974
Candida_metapsilosis	Candida metapsilosis	Saccharomycotina	human and animals	1	0
Candida_orthopsilosis	Candida orthopsilosis	Saccharomycotina	human and animals	4	0.602059991327962
Candida_parapsilosis	Candida parapsilosis	Saccharomycotina	human and animals	39	1.5910646070265
Candida_tropicalis	Candida tropicalis	Saccharomycotina	human and animals	29	1.46239799789896
Cercospora_beticola	Cercospora beticola	Pezizomycotina	plants	2	0.301029995663981
Cercospora_sojina	Cercospora sojina	Pezizomycotina	plants	1	0
Colletotrichum_acutatum	Colletotrichum acutatum	Pezizomycotina	plants	5	0.698970004336019
Colletotrichum_cereale	Colletotrichum cereale	Pezizomycotina	plants	5	0.698970004336019
Colletotrichum_fructicola	Colletotrichum fructicola	Pezizomycotina	plants	3	0.477121254719662
Colletotrichum_gloeosporioides	Colletotrichum gloeosporioides	Pezizomycotina	plants	29	1.46239799789896
Colletotrichum_graminicola	Colletotrichum graminicola	Pezizomycotina	plants	1	0
Colletotrichum_nymphaeae	Colletotrichum nymphaeae	Pezizomycotina	plants	2	0.301029995663981
Colletotrichum_siamense	Colletotrichum siamense	Pezizomycotina	plants	3	0.477121254719662
Colletotrichum_truncatum	Colletotrichum truncatum	Pezizomycotina	plants	12	1.07918124604762
Corynespora_cassiicola	Corynespora cassiicola	Pezizomycotina	human and plants	12	1.07918124604762
Cryptococcus_deneoformans	Cryptococcus deneoformans	Agaricomycotina	human and animals	1	0
Cryptococcus_gattii_VGII	Cryptococcus deuterogattii	Agaricomycotina	human and animals	14	1.14612803567824
Cryptococcus_gattii_VGIV	Cryptococcus gattii	Agaricomycotina	human and animals	1	0
Cryptococcus_neoformans	Cryptococcus neoformans	Agaricomycotina	human and animals	69	1.83884909073726
Diaporthe_eres	Diaporthe eres	Pezizomycotina	plants	2	0.301029995663981
Diaporthe_unshiuensis	Diaporthe unshiuensis	Pezizomycotina	plants	2	0.301029995663981
Didymella_bryoniae	Didymella bryoniae	Pezizomycotina	plants	2	0.301029995663981
Erysiphe_necator	Erysiphe necator	Pezizomycotina	plants	4	0.602059991327962
Fusarium_asiaticum	Fusarium asiaticum	Pezizomycotina	plants	21	1.32221929473392
Fusarium_fujikuroi	Fusarium fujikuroi	Pezizomycotina	plants	14	1.14612803567824
Fusarium_graminearum	Fusarium graminearum	Pezizomycotina	plants	28	1.44715803134222
Fusarium_incarnatum	Fusarium incarnatum	Pezizomycotina	plants	2	0.301029995663981
Fusarium_oxysporum	Fusarium oxysporum	Pezizomycotina	plants	4	0.602059991327962
Fusarium_pseudograminearum	Fusarium pseudograminearum	Pezizomycotina	plants	3	0.477121254719662
Fusarium_solani	Fusarium solani	Pezizomycotina	plants	2	0.301029995663981
Histoplasma_capsulatum	Histoplasma capsulatum	Pezizomycotina	human and animals	1	0
Magnaporthe_grisea	Magnaporthe grisea	Pezizomycotina	plants	9	0.954242509439325
Microsporum_canis	Microsporum canis	Pezizomycotina	human and animals	4	0.602059991327962
Monilinia_fructicola	Monilinia fructicola	Pezizomycotina	plants	3	0.477121254719662
Mucor_circinelloides	Mucor circinelloides	Mucoromycotina	human and animals	1	0
Pseudocercospora_fijiensis	Mycosphaerella fijiensis	Pezizomycotina	plants	17	1.23044892137827
Candida_glabrata	Nakaseomyces glabratus	Saccharomycotina	human and animals	445	2.64836001098093
Passalora_fulva	Passalora fulva	Pezizomycotina	plants	2	0.301029995663981
Penicillium_digitatum	Penicillium digitatum	Pezizomycotina	human and plants	1	0
Phaeosphaeria_nodorum	Phaeosphaeria nodorum	Pezizomycotina	plants	2	0.301029995663981
Phakopsora_pachyrhizi	Phakopsora pachyrhizi	Pucciniomycotina	plants	10	1
Pneumocystis_jirovecii	Pneumocystis jirovecii	Taphrinomycotina	human and animals	380	2.57978359661681
Puccinia_horiana	Puccinia horiana	Pucciniomycotina	plants	3	0.477121254719662
Puccinia_triticina	Puccinia triticina	Pucciniomycotina	plants	1	0
Pyrenopeziza_brassicae	Pyrenopeziza brassicae	Pezizomycotina	plants	7	0.845098040014257
Pyrenophora_teres	Pyrenophora teres	Pezizomycotina	plants	11	1.04139268515823
Pyrenophora_tritici_repentis	Pyrenophora tritici-repentis	Pezizomycotina	plants	3	0.477121254719662
Ramularia_collo_cygni	Ramularia collo-cygni	Pezizomycotina	plants	24	1.38021124171161
Rhizoctonia_cerealis	Rhizoctonia cerealis	Agaricomycotina	plants	6	0.778151250383644
Rhizoctonia_solani	Rhizoctonia solani	Agaricomycotina	plants	5	0.698970004336019
Saccharomyces_cerevisiae	Saccharomyces cerevisiae	Saccharomycotina	human and animals	4040	3.60638136511061
Saccharomyces_paradoxus	Saccharomyces paradoxus	Saccharomycotina	saprotroph	65	1.81291335664286
Sclerotinia_sclerotiorum	Sclerotinia sclerotiorum	Pezizomycotina	plants	4	0.602059991327962
Septoria_glycines	Septoria glycines	Pezizomycotina	plants	1	0
Tapesia_acuformis	Tapesia acuformis	Pezizomycotina	plants	5	0.698970004336019
Tapesia_yallundae	Tapesia yallundae	Pezizomycotina	plants	6	0.778151250383644
Trichophyton_indotineae	Trichophyton indotineae	Pezizomycotina	human and animals	3	0.477121254719662
Trichophyton_interdigitale	Trichophyton interdigitale	Pezizomycotina	human and animals	6	0.778151250383644
Trichophyton_mentagrophytes	Trichophyton mentagrophytes	Pezizomycotina	human and animals	1	0
Trichophyton_rubrum	Trichophyton rubrum	Pezizomycotina	human and animals	21	1.32221929473392
Venturia_inaequalis	Venturia inaequalis	Pezizomycotina	plants	5	0.698970004336019
Ustilaginoidea_virens	Ustilaginoidea virens	Pezizomycotina	plants	1	0
Zymoseptoria_tritici	Zymoseptoria tritici	Pezizomycotina	plants	48	1.68124123737559
Pyricularia_pennisetigena	Pyricularia pennisetigena	Pezizomycotina	plants	1	0
Colletotrichum_musae	Colletotrichum musae	Pezizomycotina	plants	1	0
Rhynchosporium_commune	Rhynchosporium commune	Pezizomycotina	plants	1	0
Debaryomyces_hansenii	Debaryomyces hansenii	Saccharomycotina	human and animals	1	0
Schizosaccharomyces_pombe	Schizosaccharomyces pombe	Saccharomycotina	saprotroph	1	0
Malassezia_pachydermatis	Malassezia pachydermatis	Ustilaginomycotina	human and animals	1	0
Conidiobolus_coronatus	Conidiobolus coronatus		none	NA	NA
Capniomyces_stellatus	Capniomyces stellatus		none	NA	NA
Smittium_mucronatum	Smittium mucronatum		none	NA	NA
