_date,total_views,unique_views
2026-02-17,8,2
2026-02-18,3,1
2026-02-19,11,5
2026-02-20,16,5
2026-02-21,3,2
2026-02-22,31,5
2026-02-23,31,7
2026-02-24,32,5
2026-02-25,38,5
2026-02-26,18,5
2026-02-27,45,6
2026-02-28,23,5
2026-03-01,1,1
2026-03-02,75,5
2026-03-03,36,5
2026-03-04,49,9
2026-03-05,30,5
2026-03-06,15,4
2026-03-07,0,0
2026-03-08,1,1
2026-03-09,10,3
2026-03-10,1,1
2026-03-11,40,9
2026-03-12,38,6
2026-03-13,17,6
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,7,3
2026-03-17,11,6
2026-03-18,8,6
2026-03-19,18,6
2026-03-20,10,3
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,14,4
2026-03-24,26,4
2026-03-25,28,8
2026-03-26,9,5
2026-03-27,9,5
2026-03-28,0,0
2026-03-29,0,0
2026-03-30,12,3
2026-03-31,32,4
2026-04-01,2,1
2026-04-02,16,4
2026-04-03,15,3
2026-04-04,6,2
2026-04-05,2,2
2026-04-06,9,3
2026-04-07,6,3
2026-04-08,42,3
2026-04-09,17,10
2026-04-10,21,9
2026-04-11,9,6
2026-04-12,3,2
2026-04-13,8,6
2026-04-14,3,3
2026-04-15,26,9
2026-04-16,2,2
2026-04-17,8,5
2026-04-18,2,2
2026-04-19,6,1
2026-04-20,6,3
2026-04-21,24,5
2026-04-22,10,4
2026-04-23,10,5
2026-04-24,20,4
2026-04-25,6,2
2026-04-26,2,1
2026-04-27,2,1
2026-04-28,23,4
2026-04-29,10,4
